	layer	speaker	start	milis_start	finish	milis_finish	duration	duration_2	text	semantic_annotation
0	text@aaa2005f	@aaa2005f	00:04:12.920	252.92	00:04:14.564	254.564	00:00:01.644	1.644	блин сложный вопрос на самом деле	пирог_NOUN оладья_NOUN пирога_NOUN непростой_ADJ сложнейший_ADJ трудный_ADJ вопрос_PROPN проблема_NOUN задача_NOUN потому_ADV вовсе_ADV собственный_ADJ дело_PROPN дло_NOUN дл_NOUN
1	text@aaa2005f	@aaa2005f	00:04:15.035	255.035	00:04:16.020	256.02	00:00:00.985	0.985	потому что я даже н=	конечно_ADV оттого_ADV вовсе_ADV
2	text@aaa2005f	@aaa2005f	00:04:16.064	256.064	00:04:17.036	257.036	00:00:00.972	0.972	ну я ее очень люблю	чрезвычайно_ADV довольно_ADV весьма_ADV обожать_VERB полюбить_VERB любить_NOUN
3	text@aaa2005f	@aaa2005f	00:04:17.036	257.036	00:04:18.827	258.827	00:00:01.791	1.791	она очень хорошая женщина вот	чрезвычайно_ADV довольно_ADV весьма_ADV плохой_ADJ хорошо_ADJ хороший_ADV мужчина_NOUN женщина_PROPN девушка_NOUN
4	text@aaa2005f	@aaa2005f	00:04:18.827	258.827	00:04:19.309	259.309	00:00:00.482	0.482	очень милая приятная	чрезвычайно_ADV довольно_ADV весьма_ADV милый_NOUN милый_VERB прелестный_ADJ приятность_NOUN приятный_ADV приятнейший_ADJ
5	text@aaa2005f	@aaa2005f	00:04:19.320	259.32	00:04:20.545	260.545	00:00:01.225	1.225	но я не уверена что она	уверить_VERB убеждать_VERB уверение_NOUN
6	text@aaa2005f	@aaa2005f	00:04:20.555	260.555	00:04:22.465	262.465	00:00:01.910	1.91	прям как тренер очень хороша	прямой_ADJ прямая_NOUN прямой_VERB хоккеист_NOUN сборная_NOUN фигурист_NOUN чрезвычайно_ADV довольно_ADV весьма_ADV плохой_ADJ хорошо_ADJ хороший_ADV
7	text@aaa2005f	@aaa2005f	00:04:22.980	262.98	00:04:23.785	263.785	00:00:00.805	0.805	потому что ээ	конечно_ADV оттого_ADV вовсе_ADV
8	text@aaa2005f	@aaa2005f	00:04:23.800	263.8	00:04:25.966	265.966	00:00:02.166	2.166	мы были три раза на ээ	четыре_NUM два_NUM шесть_NUM раз_PROPN раза_NOUN дважды_ADV
9	text@aaa2005f	@aaa2005f	00:04:26.158	266.158	00:04:27.006	267.006	00:00:00.848	0.848	чемпионате России	кубок_PROPN чемпионат_PROPN чемпион_NOUN
10	text@aaa2005f	@aaa2005f	00:04:27.010	267.01	00:04:27.773	267.773	00:00:00.763	0.763	на ШЧРе	
11	text@aaa2005f	@aaa2005f	00:04:27.780	267.78	00:04:28.212	268.212	00:00:00.432	0.432	вот	
12	text@aaa2005f	@aaa2005f	00:04:28.248	268.248	00:04:30.500	270.5	00:00:02.252	2.252	и там я видела другие команды	где_ADV здесь_ADV тамя_NOUN увидать_VERB разглядеть_VERB видеть_ADJ другий_ADJ иной_ADJ разный_ADJ команда_PROPN сборная_NOUN премьер-лига_NOUN
13	text@aaa2005f	@aaa2005f	00:04:30.520	270.52	00:04:31.704	271.704	00:00:01.184	1.184	в том числе вашу	количество_NOUN численность_NOUN также_ADV
14	text@aaa2005f	@aaa2005f	00:04:31.904	271.904	00:04:33.005	273.005	00:00:01.101	1.101	аа вы вообще легенды	конечно_ADV вовсе_ADV потому_ADV миф_NOUN сказание_NOUN предание_NOUN
15	text@aaa2005f	@aaa2005f	00:04:33.010	273.01	00:04:34.515	274.515	00:00:01.505	1.505	аа вот и	
16	text@aaa2005f	@aaa2005f	00:04:34.515	274.515	00:04:36.010	276.01	00:00:01.495	1.495	#смеется# да вот	хохотать_VERB шутить_VERB засмеяться_VERB
17	text@aaa2005f	@aaa2005f	00:04:36.013	276.013	00:04:39.300	279.3	00:00:03.287	3.287	и э елена вадимовна очень хорошо знакома с казанской	чрезвычайно_ADV довольно_ADV весьма_ADV прекрасно_ADV отлично_ADV хорошо_ADJ приятель_NOUN знакомый_ADJ сослуживец_NOUN владимирский_ADJ казань_PROPN ярославский_ADJ
18	text@aaa2005f	@aaa2005f	00:04:40.339	280.339	00:04:41.474	281.474	00:00:01.135	1.135	казанскими командами	владимирский_ADJ казань_PROPN ярославский_ADJ команда_PROPN сборная_NOUN премьер-лига_NOUN
19	text@aaa2005f	@aaa2005f	00:04:41.484	281.484	00:04:42.065	282.065	00:00:00.581	0.581	я совершенно не помню	абсолютно_ADV совсем_ADV вовсе_ADV помниться_VERB вспоминать_VERB запомнить_VERB
20	text@aaa2005f	@aaa2005f	00:04:42.091	282.091	00:04:43.183	283.183	00:00:01.092	1.092	как зовут тренера	звать_NOUN позвать_VERB окликать_VERB хоккеист_NOUN сборная_NOUN фигурист_NOUN
